Título,SALDOS POR FRONTERAS - FÍSICO_01-05-2022_29-05-2023,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023
Exportación,"-2036764,275","-1935254,624","-2656515,515","-2924472,011","-3055835,996","-2659259,266","-2328243,933","-2406088,583","-2069761,723","-1865288,43","-2976359,755","-2708112,369"
Importación,"722926,068","476525,119","233827,512","126368,541","179173,287","593773,115","694347,84","1288859,638","1147048,501","942445,543","369513,896","347071,617"
Saldo,"-1313838,207","-1458729,5050000001","-2422688,003","-2798103,4699999997","-2876662,709","-2065486,1509999998","-1633896,0930000003","-1117228,945","-922713,2220000001","-922842,887","-2606845,8589999997","-2361040,752"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,,,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/05/2022 - 30/06/2022,,,,,,,,,,,
 ,Provisional: 01/07/2022 - 30/04/2023,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,29/05/2023 - 13:05:05,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
