Título,EMISIONES Y FACTOR DE EMISIÓN DE CO2 EQ. DE LA GENERACIÓN_22-05-2023_29-05-2023,,,,,,,
Sistema eléctrico,Nacional,,,,,,,
Magnitudes,tCO2 eq. | tCO2 eq./MWh,,,,,,,
 ,,,,,,,,
Fecha,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023
Carbon,"7455,648","6515,808","6665,568","7178,4",7008,"6040,8","5913,6","10617,6"
Motores diesel,"4478,404","4129,449","4549,8","5093,338","5093,367","4957,83","4570,113","4911,803"
Turbina de gas,"1667,885","2405,157","2205,288","2690,754","2176,015","1346,392","1005,758","1950,468"
Turbina de vapor,"2452,555","2390,256","1736,353","2347,676","3321,157","2127,227","2082,123","2314,045"
Ciclo combinado,"46803,367","49757,489","53190,591","38180,645","34574,247","55177,309","53788,703","58320,905"
Cogeneracion,"21645,883","22635,969","23212,321","22633,93300000001","22221,651","21985,374","21210,016","22634,097"
Residuos no renovables,"467,592","432,3","458,988","815,28","864,276","877,14","881,4","923,244"
Emisiones totales,"84971,334","88266,428","92018,909","78940,02600000001","75258,713","92512,072","89451,713","101672,16200000001"
tCO2 eq./MWh,"0,131","0,131","0,137","0,114","0,114","0,163","0,168","0,164"
 ,,,,,,,,
Notas,,,,,,,,
 ,,,,,,,,
 ,,,,,,,,
Estados,,,,,,,,
 ,Programa: 22/05/2023 - 28/05/2023,,,,,,,
 ,Previsto: 29/05/2023 - 29/05/2023,,,,,,,
 ,,,,,,,,
Fecha exportación,29/05/2023 - 15:28:54,,,,,,,
 ,,,,,,,,
Fuente,www.ree.es,,,,,,,
