Título,balance-electrico_02-2021_12-2022,,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fechas,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22,ene/23,feb/23,mar/23,abr/23,may/23,jun/23
Hidraulica,"1192,915008","1044,9864129999999","972,175599","1153,727239","719,248117","1311,6030460000002","2749,580729","3859,465952","2463,5242289999997","2043,280367","1530,6970509999999","1389,4258940000002","1070,278"
Eolica,"3811,046039","4566,874672","4261,725882000001","4192,5683930000005","5100,93102","6682,456799","5578,033408","7457,112343000001","4676,161369","6694,761999","4899,213683","5455,440685","1380,9161399999998"
Solar fotovoltaica,"3223,717662","3391,363017","3243,697357","2697,3328939999997","2024,817228","1538,655199","1129,2660689999998","1740,831217","2147,858412","3090,861142","3755,086762","3853,373308","1922,5840970000002"
Solar termica,"534,217867","667,235596","619,95899","437,343279","166,128813","104,76541800000001","59,778183","119,50775900000001","178,785415","409,939619","625,722961","500,29271600000004","259,534499"
Hidroeolica,"2,44956","3,562943","3,517675","2,0750949999999997","1,350072","1,1694090000000001","0,367104","1,6495039999999999","0,829341","1,5724449999999999","1,573337","2,0671950000000003","0,315548"
Otras renovables,"415,880257","409,34559499999995","383,456347","341,44106300000004","367,072408","364,66623100000004","319,88367700000003","290,44284999999996","356,763562","307,679572","273,086786","338,114305","172,63326"
Residuos renovables,"76,946932","75,73252049999999","65,4881505","59,668639000000006","71,884421","67,5357145","73,27315549999999","68,128838","71,9624925","72,254813","57,926928999999994","45,423986","43,28475"
Generacion renovable,"9257,173325000002","10159,100756500002","9550,020000499999","8884,156602","8451,432078999998","10070,8518165","9910,1823255","13537,138463","9895,8848205","12620,349957000002","11143,307508999998","11584,138089","4849,546294"
Turbinacion bombeo,"271,315011","216,663274","339,437288","304,811504","385,629672","361,66386700000004","485,359059","542,7974499999999","260,87122899999997","540,079804","611,590252","482,56336300000004","144,3967"
Nuclear,"4459,458308","5073,367597","5122,0469299999995","4847,366489","4021,338375","4231,576648","5161,212451","5086,763589","4597,959716","5102,289665","4567,253012","3741,7683909999996","1947,7145"
Ciclo combinado,"6478,9437960000005","8460,442205","8082,02529","7704,900791","7066,692644000001","4672,406454","4368,592847","2708,426785","4367,686518","3114,602131","2874,982895","3333,278497","2415,6380090000002"
Carbon,"833,03637","882,232497","819,592534","632,066719","381,004644","321,469754","693,672984","296,207262","417,949884","424,099234","249,853584","239,56610899999998","173,8991"
Motores diesel,"224,84698999999998","242,769399","245,67277900000002","216,066758","202,310397","192,19661100000002","200,24164499999998","186,63170399999998","195,8643","177,249239","184,15697500000002","194,115125","114,864454"
Turbina de gas,"47,734012","79,729885","85,532472","84,42261599999999","79,275334","47,409887000000005","48,856536","64,152798","59,331864","51,356449999999995","50,541317","58,692388","30,069815"
Turbina de vapor,"60,625901","73,212087","102,41701300000001","110,95399099999999","118,59882","93,771169","122,69665499999999","118,030389","118,052049","103,679242","89,164951","84,88094899999999","37,626417000000004"
Fuel + Gas,-,-,-,-,-,-,-,-,-,"-0,000001",-,-,-
Cogeneracion,"1467,878881","1056,410114","776,2466069999999","739,205061","1095,3921440000001","1453,538553","1100,671517","1212,211068","1718,174324","1732,47378","1576,98219","1691,619784","963,99778"
Residuos no renovables,"155,909442","181,0204545","164,79721650000002","139,937864","155,069311","127,5581155","134,6680325","103,39121300000001","115,0794975","120,442442","91,24580800000001","71,357616","67,71745"
Generacion no renovable,"13999,748711","16265,847512499999","15737,768129499998","14779,731793","13505,311341","11501,5910585","12315,971726499998","10318,612258","11850,969381500001","11366,271986","10295,770983999999","9897,842222000001","5895,924225000001"
Consumos en bombeo,"-467,84592200000003","-366,431347","-478,121079","-477,584495","-561,02917","-586,962558","-825,886546","-948,646113","-399,19063400000005","-896,468791","-928,439622","-751,906434","-207,15210000000002"
Importacion Francia,"356,122823","143,167408","32,217664","10,928913","359,522011","257,408635","319,33027899999996","315,19964899999997","344,673793","206,570516","240,68466","581,44113","516,826417"
Importacion Portugal,"105,237496","70,116504","87,92637699999999","159,139374","227,979504","416,536865","938,641159","812,211152","570,79115","136,38192","56,398216999999995","65,518476","195,2135"
Importacion Marruecos,"15,1648","20,543599999999998","6,2245","9,105","6,2716","20,40194","30,8882","19,637700000000002","26,9806","26,5596","49,9844","49,2926","34,0186"
Importacion Andorra,-,-,-,-,-,"0,0004",-,-,-,"0,00186","0,00434","0,0011200000000000001",-
Exportacion Francia,"-619,059595","-1106,9565949999999","-1484,153892","-1763,2293430000002","-1236,969701","-1442,401586","-1781,757198","-1252,101073","-937,17316","-1369,903338","-1077,189301","-730,864513","-432,293537"
Exportacion Portugal,"-1079,413009","-1353,89684","-1122,140969","-1020,317983","-1148,481105","-731,1053270000001","-403,595915","-623,87692","-692,8168499999999","-1423,083207","-1460,829408","-1464,370441","-719,5721"
Exportacion Marruecos,"-220,2427","-173,4064","-297,8224","-252,5097","-253,44946","-134,56097","-180,8553","-151,3296","-214,0929","-160,2635","-155,4625","-164,999","-54,4816"
Exportacion Andorra,"-16,53932","-22,25568","-20,35475","-19,77897","-20,359","-20,17605","-39,88017","-42,45413","-21,20552","-23,10971","-14,63116","-10,91034","-0,316"
Saldo I. internacionales,"-1458,7295049999998","-2422,688003","-2798,10347","-2876,6627089999997","-2065,486151","-1633,896093","-1117,228945","-922,713222","-922,842887","-2606,845859","-2361,040752","-1674,8909680000002","-379,4769"
Demanda en b.c.,"21330,346608999997","23635,828919","22011,563581","20309,641191","19330,228099000004","19351,584224","20283,038561","21984,391386","20424,820680999997","20483,307292999998","18149,598119000002","19055,182909000003","10158,841519"
 ,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,
 ,Balance eléctrico: asignación de unidades de producción según combustible principal.,,,,,,,,,,,,
 ,"Otras renovables: incluye biogás, biomasa, hidráulica marina y geotérmica.",,,,,,,,,,,,
 ,Los valores de incrementos y año móvil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,,
 ,Residuos renovables : generación incluida en otras renovables y cogeneración hasta el 31/12/2014.,,,,,,,,,,,,
 ,Turbinación de bombeo puro + estimación de turbinación de bombeo mixto.,,,,,,,,,,,,
 ,Ciclo combinado: Incluye funcionamiento en ciclo abierto.,,,,,,,,,,,,
 ,Fuel + Gas: En el sistema eléctrico nacional se incluye la generación con grupos auxiliares de Baleares.,,,,,,,,,,,,
 ,Cogeneración: los valores de incrementos y año móvil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,,
 ,Residuos no renovables: generación incluida en otras renovables y cogeneración hasta el 31/12/2014.,,,,,,,,,,,,
 ,Demanda corregida: corregidos los efectos de temperatura y laboralidad..,,,,,,,,,,,,
 ,Valor positivo: saldo importador; valor negativo: saldo exportador.,,,,,,,,,,,,
 ,Los valores de incrementos no se calculan cuando los saldos de intercambios tienen distinto signo.,,,,,,,,,,,,
 ,Demanda corregida: corregidos los efectos de temperatura y laboralidad.,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,
 ,Definitivo: 01/02/2021 - 30/06/2022,,,,,,,,,,,,
 ,Provisional: 01/07/2022 - 31/12/2022,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha exportación,18/06/2023 - 14:06:50,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,
