Título,EVOLUCIÓN DE LA RED DE TRANSPORTE (km DE CIRCUITO)_01-01-2019_31-12-2023,,,,
Sistema eléctrico,Peninsular,,,,
Magnitudes,km,,,,
 ,,,,,
Fecha,2019,2020,2021,2022,2023
km de circuito a 400 kV,"21748,016","21763,902","21768,382","22013,28","22013,28"
km de circuito a 220 kV,"19219,123","19252,63","19460,81","19481,954","19481,954"
km de circuito hasta 132 kV,"56,78","56,78","59,79","59,79","59,79"
 ,,,,,
Notas,,,,,
 ,Incluye los activos de la red de transporte del resto de empresas.,,,,
 ,,,,,
Fecha exportación,18/06/2023 - 14:18:05,,,,
 ,,,,,
Fuente,www.ree.es,,,,
