Título,SALDOS POR FRONTERAS - FÍSICO_01-06-2018_29-02-2020,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Fecha,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020
Exportacion,"-462510,329","-696928,988","-719293,682","-867275,849","-1330074,448","-1341047,412","-1098514,173","-1334072,376","-1046491,333","-1036963,624","-731500,828","-825508,186","-581410,392","-588923,28","-929433,737","-1143759,731","-906803,569","-1437220,926","-1296426,546","-858547,591","-789618,042"
Importacion,"2326474,629","2590656,079","1963315,757",1991738,"1147605,888","1385726,816","2037700,171","1580425,822","2058266,481","2429142,313","1822620,506","1573308,723","1118284,845","1246025,342","1278235,436","1241724,34","1487745,49","1139826,471","1745233,808","2340926,418","1825399,764"
Saldo,"1863964,3000000003","1893727,091","1244022,075","1124462,151","-182468,56000000006","44679,4040000001","939185,9980000001","246353,446","1011775,1479999999","1392178,6890000002","1091119,678","747800,537","536874,453","657102,0619999999","348801,699","97964,60900000017","580941,921","-297394,4550000001","448807,2619999999","1482378,827","1035781,722"
 ,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/06/2018 - 29/02/2020,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,18/06/2023 - 19:16:15,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,
