Título,ENERGÍA GESTIONADA EN LOS SERVICIOS DE AJUSTE_01-07-2018_29-02-2020,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Peninsular,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Fecha,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020
Energia programada por seguridad a subir,"1097,1695","1056,1502","658,0110999999999","676,343","548,2845","713,908","614,3434","575,6989","834,6223","800,7105","680,8932","537,9501","340,392","373,4327","376,19840000000005","412,70120000000003","592,9914","758,3069","741,7223","738,615"
Energia programada por seguridad a bajar,"-63,065","-96,7877","-38,1066","-45,8945","-34,2548","-52,3688","-7,581600000000001","-12,344299999999999","-25,8831","-64,5181","-28,4633","-68,4867","-43,879","-22,0025","-48,6765","-78,22739999999999","-26,109099999999998","-24,3077","-16,8418","-17,1756"
Energia de balance a subir,"0,415888","0,4370119","0,38563240000000004","0,4085665","0,442546","0,32997909999999997","0,4931316","0,2807294","0,2986966","0,3822477","0,3913981","0,4459486","0,5169225000000001","0,27905420000000003","0,27911559999999996","0,3682722","0,39738579999999996","0,41920100000000005","0,4761307","0,30062"
Energia de balance a bajar,"-0,2255341","-0,2493764","-0,214807","-0,2658366","-0,23347310000000002","-0,2996397","-0,2479355","-0,2765317","-0,3113657","-0,2852595","-0,1902827","-0,1956797","-0,2308483","-0,28522290000000006","-0,3291519","-0,2733629","-0,26278340000000006","-0,35373340000000003","-0,3066224","-0,278986"
 ,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Fecha exportación,18/06/2023 - 19:42:46,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,
